sample	group
Yasmin_S1	PBS_DONOR
Yasmin_S2	PBS_DONOR
Yasmin_S3	PBS_DONOR
Yasmin_S4	PBS_DONOR
Yasmin_S5	PBS_DONOR
Yasmin_S6	PBS_DONOR
Yasmin_S7	PBS_DONOR
Yasmin_S8	VANCO_DONOR
Yasmin_S9	VANCO_DONOR
Yasmin_S10	VANCO_DONOR
Yasmin_S11	VANCO_DONOR
Yasmin_S12	VANCO_DONOR
Yasmin_S13	VANCO_DONOR
Yasmin_S14	VANCO_DONOR
Yasmin_S15	PBS_RECIPIENT
Yasmin_S16	PBS_RECIPIENT
Yasmin_S17	PBS_RECIPIENT
Yasmin_S18	PBS_RECIPIENT
Yasmin_S19	PBS_RECIPIENT
Yasmin_S20	PBS_RECIPIENT
Yasmin_S21	PBS_RECIPIENT
Yasmin_S22	VANCO_RECIPIENT
Yasmin_S23	VANCO_RECIPIENT
Yasmin_S24	VANCO_RECIPIENT
Yasmin_S25	VANCO_RECIPIENT
Yasmin_S26	VANCO_RECIPIENT
Yasmin_S27	VANCO_RECIPIENT
Yasmin_S28	VANCO_RECIPIENT
